#********** START OF renumber-sheet.ulp ULP Version 4.4.4 08-08-2017 :04:16:28 LOG **********#
#OldRef				SheetNumber	NewRef
B+				1	B+53
B-				1	B-53
LBUTTON				1	LBUTTON53
LEDGREEN				1	LEDGREEN53
LEDRED				1	LEDRED53
RBTN				1	RBTN53
#********** END OF renumber-sheet.ulp ULP Version 4.4.4 08-08-2017 :04:16:28 LOG **********#

#********** START OF fix_via_hack.ulp ULP Version 4.7.0 08-08-2017 :04:16:36 LOG **********#
TRACK	WireCount=1		Net=+3V3				start(X=34925.000000 Y=49212.500000)	end(X=34925.000000 Y=51435.000000 )
TRACK	WireCount=2		Net=N$22				start(X=48463.200000 Y=59436.000000)	end(X=48463.200000 Y=59131.200000 )
TRACK	WireCount=3		Net=N$22				start(X=48463.200000 Y=59131.200000)	end(X=48158.400000 Y=59131.200000 )
TRACK	WireCount=4		Net=N$22				start(X=48158.400000 Y=59131.200000)	end(X=48158.400000 Y=59436.000000 )
TRACK	WireCount=5		Net=N$22				start(X=48158.400000 Y=59131.200000)	end(X=48158.400000 Y=58826.400000 )
TRACK	WireCount=6		Net=N$23				start(X=47853.600000 Y=59436.000000)	end(X=47548.800000 Y=59436.000000 )
TRACK	WireCount=7		Net=N$23				start(X=47548.800000 Y=59436.000000)	end(X=47548.800000 Y=59131.200000 )
TRACK	WireCount=8		Net=N$23				start(X=47548.800000 Y=59131.200000)	end(X=47853.600000 Y=59131.200000 )
TRACK	WireCount=9		Net=N$23				start(X=47853.600000 Y=59131.200000)	end(X=47853.600000 Y=58826.400000 )
TRACK	WireCount=10		Net=N$23				start(X=47853.600000 Y=58826.400000)	end(X=47548.800000 Y=58826.400000 )
VIA	ViaCount=1		Net=+3V3				(X=34925.000000 Y=49212.500000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=2		Net=+3V3				(X=34925.000000 Y=51435.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=3		Net=GND				(X=36512.400000 Y=63341.200000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=4		Net=GND				(X=45720.000000 Y=24447.500000)	LayerStart=1	LayerEnd=16
PADFILL	PadCount=2		Net=GND				(X=42227.500000 Y=70485.000000)	LayerStart=16	LayerEnd=16
PADFILL	PadCount=5		Net=GND				(X=39052.500000 Y=36195.000000)	LayerStart=16	LayerEnd=16
PADFILL	PadCount=22		Net=+3V3				(X=47702.500000 Y=61912.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=24		Net=+3V3				(X=44132.600000 Y=36435.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=28		Net=+3V3				(X=33178.800000 Y=32942.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=30		Net=+3V3				(X=35320.000000 Y=59372.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=32		Net=+3V3				(X=40322.500000 Y=41987.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=34		Net=+3V3				(X=46277.500000 Y=63500.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=40		Net=+3V3				(X=46990.000000 Y=53897.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=42		Net=+3V3				(X=27700.000000 Y=53975.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=64		Net=+3V3				(X=40163.700000 Y=32942.500000)	LayerStart=1	LayerEnd=1
